Gender,Age,Algebra,Geometry,Numeration,probability,Spatial Sense,Weak Spot (Class Label)
Male,17,7,4,7,3,2,Spatial
Male,19,4,5,4,6,6,"Algebra, Numeration"
Female,18,7,6,4,5,5,Numeration
Female,22,5,6,7,4,3,probability
Female,19,7,4,6,5,4,"Geometry, Spatial"
Male,18,5,7,7,6,4,Spatial
Female,17,5,6,5,7,4,Spatial
Female,19,6,6,7,5,4,Spatial
Male,18,5,7,5,6,7,"Algebra, Numeration"
Female,19,5,5,7,4,5,probability
Male,19,6,7,5,6,3,Spatial
Male,19,7,6,7,7,6,"Geometry, Spatial"
Male,19,7,6,6,5,6,probability
Female,19,6,7,5,5,5,Numeration
Female,19,5,5,4,5,4,Spatial
Male,19,5,6,4,6,3,"Numeration, Spatial"
Female,19,7,7,2,6,5,Numeration
Female,18,6,7,4,4,2,Spatial
Female,19,6,6,6,4,3,Spatial
Female,19,5,6,3,3,3,"Numeration, Spatial"
Female,19,6,4,6,3,4,probability
Male,18,4,5,4,3,6,probability
Female,19,5,4,5,5,3,Spatial
Male,20,5,3,3,4,4,"Geometry, Numeration"
Female,19,6,7,5,5,4,Spatial
Female,19,7,5,6,6,5,"Geometry, Spatial"
Female,18,6,4,5,5,4,"Geometry, Spatial"
Female,19,4,6,4,7,6,"Algebra, Numeration"
Female,27,6,5,6,4,5,probability
Female,17,7,4,7,6,5,Geometry
Female,21,6,6,3,5,7,Numeration
Male,18,6,5,5,6,1,Spatial
Female,18,6,4,5,6,7,Geometry
Male,18,6,3,5,5,4,Geometry
Male,18,5,7,3,6,7,Numeration
Female,19,5,6,6,6,7,Algebra
Female,18,7,6,6,7,5,Spatial
Female,18,7,7,5,7,7,Numeration
Female,17,7,6,7,5,8,probability
Female,20,6,6,6,5,8,probability
Male,19,3,5,9,4,7,Algebra
Female,17,6,4,6,6,6,Geometry
Female,18,7,5,4,6,8,Numeration
Female,20,3,7,5,6,6,Algebra
Male,28,6,5,7,6,4,Spatial
Male,17,5,4,5,5,7,Geometry
Female,18,5,5,4,4,5,"Numeration, probablity"
Female,20,7,6,6,4,4,"probability, Spatial"
Female,18,6,4,3,6,2,Spatial
Female,19,6,4,5,6,4,"Geometry, Spatial"
Female,19,3,4,5,5,1,Spatial
Female,18,4,5,4,6,1,Spatial
Male,17,5,4,3,6,6,Numeration
Female,23,6,7,4,4,5,"Numeration, Probability"
Female,19,7,5,7,4,6,Probability
Male,18,7,5,5,4,3,Spatial
Female,17,5,5,4,6,4,"Numeration, Spatial"
Female,18,6,6,5,4,4,"Probability, Spatial"
Female,19,5,6,5,4,7,Probability
Male,19,5,4,6,1,3,Probability
Male,19,3,7,2,6,7,Numeration
Female,18,7,6,5,5,5,"Numeration, Probability, Spatial"
Female,19,6,5,4,5,2,Spatial
Male,19,6,6,2,5,6,Numeration
Female,18,7,5,5,4,5,Probability
Male,19,6,6,5,5,4,Spatial
Female,17,6,5,5,4,4,"Probability, Spatial"
Female,19,5,6,5,6,4,Spatial
Male,19,6,5,5,6,6,"Geometry, Numeration"
Female,19,5,5,5,7,3,Spatial
Male,18,6,6,4,4,3,Spatial
Male,18,7,6,6,5,7,Probability
Female,17,5,5,5,5,3,Spatial
Female,19,5,5,4,4,4,"Numeration, Probabilty, Spatial"
Female,18,5,4,5,6,4,"Geometry, Spatial"
Female,18,7,4,6,6,4,"Geometry, Spatial"
Female,17,4,6,4,4,1,Spatial
Female,17,7,4,5,5,5,Geometry
Female,19,6,4,5,5,6,Geometry
Female,18,5,1,3,5,2,Geometry
Male,18,2,6,3,3,7,Algebra
Female,18,7,5,7,5,2,Spatial
Male,21,6,5,5,5,3,Spatial
Female,21,6,5,6,5,2,Spatial
Female,18,6,4,4,6,4,"Geometry, Numeration, Spatial"
Male,18,7,5,7,6,5,"Geometry, Spatial"
Female,19,5,4,7,4,4,"Geometry, Numeration, Spatial"
Female,18,4,6,2,1,4,Probability
Male,20,5,6,6,5,7,"Algebra, Probability"
Male,18,6,7,6,5,4,Spatial
Female,18,6,4,5,4,6,"Geometry, Probability"
Male,18,6,5,3,5,3,"Numeration, Spatial"
Female,18,7,5,2,4,6,Probability
Male,21,4,4,4,4,3,Spatial
Male,21,6,6,5,6,7,Numerations
Male,18,3,6,6,2,3,Probability
Female,18,4,4,5,7,6,"Algebra, Geometry"
Female,19,5,5,4,6,3,Spatial
Male,19,2,5,3,6,8,Algebra
